selecao,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,pontos,pontos_por_jogo
Brazil,41,27,6,8,78,40,38,87,2.122
Germany,39,26,5,8,78,33,45,83,2.128
France,39,24,9,6,65,29,36,81,2.077
Argentina,36,21,8,7,62,36,26,71,1.972
Netherlands,30,19,8,3,53,23,30,65,2.167
Spain,30,16,8,6,55,31,24,56,1.867
England,33,14,10,9,49,30,19,52,1.576
Croatia,30,13,8,9,43,33,10,47,1.567
Belgium,22,12,6,4,32,21,11,42,1.909
Portugal,26,11,6,9,42,29,13,39,1.5
Italy,22,10,7,5,31,18,13,37,1.682
Mexico,27,10,7,10,31,33,-2,37,1.37
Uruguay,22,10,5,7,28,24,4,35,1.591
Switzerland,19,8,5,6,22,22,0,29,1.526
South Korea,27,7,7,13,30,44,-14,28,1.037
Japan,25,7,6,12,25,33,-8,27,1.08
Denmark,19,6,6,7,21,23,-2,24,1.263
Colombia,12,7,1,4,19,10,9,22,1.833
United States,23,5,7,11,23,33,-10,22,0.957
Sweden,13,5,4,4,14,13,1,19,1.462
Paraguay,16,4,6,6,14,13,1,18,1.125
Senegal,12,5,3,4,16,17,-1,18,1.5
Ghana,15,5,3,7,18,23,-5,18,1.2
Ecuador,13,5,2,6,14,14,0,17,1.308
Costa Rica,17,4,5,8,18,33,-15,17,1.0
Morocco,13,4,4,5,13,14,-1,16,1.231
Chile,12,4,4,4,14,17,-3,16,1.333
Nigeria,17,4,3,10,16,26,-10,15,0.882
Australia,17,4,3,10,17,32,-15,15,0.882
Serbia,16,4,2,10,16,29,-13,14,0.875
Turkey,7,4,1,2,10,6,4,13,1.857
Russia,11,3,4,4,17,14,3,13,1.182
Poland,13,4,1,8,10,21,-11,13,1.0
Iran,15,3,3,9,11,23,-12,12,0.8
Ivory Coast,9,3,1,5,13,14,-1,10,1.111
South Africa,9,2,4,3,11,16,-5,10,1.111
Tunisia,15,2,4,9,11,24,-13,10,0.667
Cameroon,15,2,4,9,11,26,-15,10,0.667
Greece,7,2,2,3,5,10,-5,8,1.143
Saudi Arabia,15,2,2,11,9,38,-29,8,0.533
Romania,4,2,1,1,4,3,1,7,1.75
Ukraine,5,2,1,2,5,7,-2,7,1.4
Republic of Ireland,4,1,3,0,6,3,3,6,1.5
Norway,4,1,2,1,5,5,0,5,1.25
Algeria,7,1,2,4,7,9,-2,5,0.714
Slovakia,4,1,1,2,5,7,-2,4,1.0
Slovenia,6,1,1,4,5,10,-5,4,0.667
Bosnia and Herzegovina,3,1,0,2,4,4,0,3,1.0
New Zealand,3,0,3,0,2,2,0,3,1.0
Peru,3,1,0,2,2,2,0,3,1.0
Czech Republic,3,1,0,2,3,4,-1,3,1.0
Jamaica,3,1,0,2,3,9,-6,3,1.0
Austria,3,0,2,1,3,4,-1,2,0.667
Angola,3,0,2,1,1,2,-1,2,0.667
Iceland,3,0,1,2,2,5,-3,1,0.333
Scotland,3,0,1,2,2,6,-4,1,0.333
Trinidad and Tobago,3,0,1,2,0,4,-4,1,0.333
Wales,3,0,1,2,1,6,-5,1,0.333
Bulgaria,3,0,1,2,1,7,-6,1,0.333
Honduras,6,0,1,5,1,11,-10,1,0.167
Egypt,3,0,0,3,2,6,-4,0,0.0
Canada,3,0,0,3,2,7,-5,0,0.0
Togo,3,0,0,3,1,6,-5,0,0.0
Qatar,3,0,0,3,1,7,-6,0,0.0
Panama,3,0,0,3,2,11,-9,0,0.0
China,3,0,0,3,0,9,-9,0,0.0
North Korea,3,0,0,3,1,12,-11,0,0.0
