modelo,conjunto,world_cup_year,match_id,team_a,team_b,result_real,rotulo_real,result_previsto,rotulo_previsto,acertou
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0257,Brazil,Croatia,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0258,Chile,Australia,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0259,Mexico,Cameroon,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0260,Spain,Netherlands,2,Vitória B,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0261,Colombia,Greece,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0262,England,Italy,2,Vitória B,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0263,Ivory Coast,Japan,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0264,Uruguay,Costa Rica,2,Vitória B,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0265,Argentina,Bosnia and Herzegovina,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0266,France,Honduras,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0267,Switzerland,Ecuador,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0268,Germany,Portugal,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0269,Ghana,United States,2,Vitória B,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0270,Iran,Nigeria,1,Empate,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0271,Belgium,Algeria,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0272,Brazil,Mexico,1,Empate,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0273,Russia,South Korea,1,Empate,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0274,Australia,Netherlands,2,Vitória B,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0275,Cameroon,Croatia,2,Vitória B,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0276,Spain,Chile,2,Vitória B,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0277,Colombia,Ivory Coast,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0278,Japan,Greece,1,Empate,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0279,Uruguay,England,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0280,Honduras,Ecuador,2,Vitória B,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0281,Italy,Costa Rica,2,Vitória B,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0282,Switzerland,France,2,Vitória B,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0283,Argentina,Iran,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0284,Germany,Ghana,1,Empate,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0285,Nigeria,Bosnia and Herzegovina,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0286,Belgium,Russia,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0287,South Korea,Algeria,2,Vitória B,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0288,United States,Portugal,1,Empate,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0289,Australia,Spain,2,Vitória B,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0290,Brazil,Cameroon,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0291,Croatia,Mexico,2,Vitória B,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0292,Netherlands,Chile,0,Vitória A,0,Vitória A,1
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0293,Costa Rica,England,1,Empate,0,Vitória A,0
baseline_classe_majoritaria,validacao_2014,2014,WC2014_0294,Greece,Ivory Coast,0,Vitória A,0,Vitória A,1
